class,cg27413732,cg27627006,cg26996201,cg04656009,cg24061542,cg10150615,cg07093324,cg00949670,cg03068376,cg00656478,cg17492891,cg04181864,cg19212550,cg14208041,cg05835416,cg08042322,cg05241830,cg15004938,cg22355463,cg25986322,cg00589181,cg16989822,cg00511596,cg05419984,cg13817545,cg26864230,cg14337027,cg15719025,cg07947533,cg04445570,cg09716038,cg22149137,cg08642716,cg20958098,cg06475503,cg14913676,cg19446838,cg02706575,cg15324185,cg00614392,cg00957480,cg13380204,cg25983288,cg11826008,cg18835596,cg11808459,cg01328621,cg01060952,cg15491094,cg15045943,cg13978347,cg24046864,cg01353960,cg04729070,cg04792024,cg23099959,cg10678486,cg24054683,cg07563765,cg01517148,cg01918222,cg17371436,cg21034183,cg13619623,cg14939641,cg11693709,cg18958531,cg06328456,cg01630567,cg20488820,cg08737815,cg02151101,cg18866817,cg16803064,cg00147216,cg09545123,cg08327690,cg21900829,cg15623149,cg23841361,cg19455335,cg24046411,cg12593394,cg05714773,cg12656611,cg20364512,cg27305525,cg13461336,cg25862140,cg27471901,cg26170066,cg00595787,cg26055718,cg05485968,cg18159276,cg00113117,cg21948655,cg08182501,cg05922925,cg17560586,cg22313322,cg26614578,cg09250072,cg03313126,cg16331823,cg15128147,cg07195224,cg07543711,cg13027184,cg05212836,cg10202788
1.0,0.0567029,0.540617,0.0741341,0.731777,0.0445526,0.107518,0.307589,0.0373059,0.118043,0.937101,0.0380325,0.961259,0.551231,0.568627,0.599863,0.296402,0.891587,0.884155,0.0678888,0.904322,0.932653,0.913161,0.0128702,0.0479706,0.292969,0.0404874,0.275411,0.106181,0.027273,0.885788,0.961119,0.227329,0.847108,0.851252,0.928306,0.0240001,0.0505005,0.87129,0.92717,0.196041,0.846264,0.55049,0.952953,0.834994,0.930241,0.360326,0.836334,0.0423572,0.81447,0.0900352,0.834283,0.927147,0.878596,0.039989,0.922284,0.919809,0.057944,0.964599,0.887371,0.919731,0.53822,0.0494245,0.533395,0.897786,0.893754,0.849382,0.0428777,0.885935,0.0791232,0.11949,0.914751,0.946136,0.840532,0.892343,0.955238,0.0885589,0.019754,0.963233,0.00908613,0.0163141,0.0851015,0.0576224,0.0186876,0.879641,0.90034,0.881528,0.0650173,0.889213,0.914333,0.194297,0.0283272,0.935923,0.779083,0.924605,0.855284,0.911903,0.935801,0.792477,0.0308519,0.951217,0.0518415,0.0755906,0.907055,0.697679,0.0278658,0.603042,0.779015,0.879863,0.646147,0.0256604,0.929475
1.0,0.0618762,0.27468,0.0487681,0.645861,0.0405167,0.124115,0.171213,0.0350039,0.0416422,0.92074,0.0420384,0.972442,0.839849,0.67416,0.705569,0.860927,0.883248,0.846982,0.0670596,0.898823,0.912881,0.922823,0.0132187,0.0662069,0.321006,0.0206049,0.428715,0.0758161,0.0274233,0.903631,0.947676,0.327938,0.884335,0.863449,0.931402,0.0246412,0.0601754,0.823755,0.913872,0.256457,0.843361,0.549136,0.965339,0.735841,0.876633,0.671929,0.84457,0.0548197,0.891823,0.0684157,0.835545,0.907551,0.820777,0.0594285,0.945025,0.930586,0.0547905,0.968765,0.976532,0.843572,0.618474,0.0238693,0.534867,0.926947,0.919993,0.823293,0.0387724,0.924654,0.0742294,0.125026,0.897292,0.908364,0.821447,0.843041,0.969067,0.066804,0.0198089,0.966133,0.00956392,0.0287316,0.0664695,0.037803,0.0161723,0.900664,0.867015,0.879574,0.0621985,0.886748,0.859228,0.245161,0.0300355,0.918727,0.933127,0.909976,0.872572,0.835289,0.901559,0.867326,0.0281127,0.954975,0.0518211,0.0944846,0.839376,0.759056,0.0186556,0.446416,0.600459,0.888889,0.676111,0.0218574,0.93205
1.0,0.0514136,0.518335,0.0187812,0.750534,0.0246883,0.110982,0.218406,0.0232268,0.0246725,0.873169,0.029523,0.941443,0.721287,0.423074,0.591117,0.465181,0.880029,0.761301,0.0770197,0.829758,0.84967,0.907762,0.0227004,0.0807325,0.262234,0.031574,0.213433,0.074321,0.0193094,0.876294,0.921041,0.102782,0.834543,0.833891,0.938736,0.0637623,0.0723153,0.824871,0.876572,0.251739,0.824968,0.600039,0.966937,0.773298,0.861177,0.608073,0.82745,0.0508807,0.828658,0.0662032,0.81431,0.841927,0.809735,0.0545593,0.861144,0.913324,0.0382009,0.961124,0.970993,0.780621,0.641956,0.0338637,0.51471,0.838589,0.830608,0.751848,0.0573561,0.85366,0.0341655,0.142413,0.908019,0.894375,0.784512,0.801041,0.969421,0.0578244,0.0134626,0.962857,0.0160772,0.01588,0.0505865,0.0247104,0.0259594,0.837619,0.828959,0.842916,0.0518256,0.814263,0.849315,0.235901,0.0405232,0.916474,0.868958,0.883155,0.858763,0.802127,0.859847,0.796883,0.0350454,0.964638,0.03902,0.0260185,0.792093,0.660367,0.0405732,0.452813,0.454745,0.875776,0.677881,0.0373831,0.879848
1.0,0.0470876,0.445354,0.0197211,0.798993,0.0449486,0.055146,0.186648,0.0299408,0.0267941,0.928866,0.0291907,0.974166,0.815818,0.676229,0.612187,0.615643,0.912173,0.772291,0.193848,0.868169,0.918489,0.913862,0.02294,0.0855126,0.368127,0.0208782,0.150266,0.0710431,0.0217982,0.908735,0.927163,0.100943,0.873655,0.866929,0.937559,0.0192952,0.0344605,0.822453,0.841895,0.179501,0.845922,0.697203,0.960982,0.720531,0.858872,0.673062,0.857026,0.0601437,0.87686,0.0543218,0.832241,0.925057,0.850961,0.035556,0.936274,0.887581,0.0758966,0.966977,0.964052,0.831446,0.593557,0.0317615,0.527518,0.931948,0.923173,0.728781,0.0486884,0.84068,0.0404851,0.149902,0.906161,0.929055,0.79038,0.820604,0.961187,0.0533815,0.0190139,0.964918,0.0145944,0.031226,0.0647104,0.027034,0.0204549,0.944766,0.938799,0.87505,0.0551096,0.846467,0.870908,0.230547,0.0555921,0.878806,0.873695,0.910475,0.857159,0.800418,0.897486,0.871467,0.0742332,0.919886,0.037892,0.0388636,0.826105,0.676845,0.0679953,0.395095,0.465594,0.92578,0.76637,0.0295719,0.86538
1.0,0.052525,0.502359,0.025316,0.579145,0.0380188,0.0482786,0.134061,0.0212452,0.0356038,0.851126,0.0271973,0.965782,0.703999,0.425837,0.521396,0.600615,0.83096,0.765276,0.106366,0.805672,0.835482,0.9081,0.019789,0.0547995,0.214261,0.0196777,0.211052,0.069584,0.020519,0.888144,0.911611,0.125598,0.800105,0.850799,0.951906,0.0416992,0.0434493,0.767841,0.890213,0.226246,0.816757,0.464707,0.963615,0.70647,0.884901,0.580716,0.815325,0.0268601,0.798379,0.0409501,0.786461,0.855415,0.785467,0.0330017,0.831237,0.921807,0.0453256,0.959706,0.973549,0.796646,0.500172,0.0374954,0.478552,0.888632,0.89435,0.712836,0.0410422,0.777454,0.0190067,0.104494,0.841197,0.890148,0.806648,0.764544,0.973283,0.0634742,0.0176246,0.974632,0.0180815,0.0182855,0.0285146,0.0271064,0.0162502,0.825798,0.798633,0.851403,0.0377323,0.816122,0.837104,0.145686,0.0262671,0.922607,0.906066,0.898588,0.859778,0.763071,0.877817,0.8651,0.0328465,0.954293,0.0536113,0.0384522,0.827071,0.659868,0.0393677,0.311653,0.435717,0.854421,0.604427,0.0265247,0.942228
1.0,0.0486528,0.389461,0.0362238,0.652942,0.0340568,0.0561734,0.38952,0.0254258,0.0380931,0.853383,0.0165034,0.963374,0.800266,0.574229,0.588112,0.495802,0.837856,0.77656,0.0645135,0.796856,0.829606,0.891339,0.0245593,0.0671467,0.265008,0.0539266,0.21685,0.0530995,0.0206617,0.858355,0.915286,0.148918,0.847841,0.806555,0.950488,0.035123,0.0483145,0.783247,0.875168,0.226567,0.829163,0.635096,0.967337,0.703429,0.840574,0.537837,0.788925,0.0461833,0.802222,0.0297437,0.746925,0.842899,0.762333,0.0478275,0.85946,0.879528,0.029634,0.961244,0.965402,0.773505,0.517242,0.0243978,0.484386,0.859449,0.892887,0.737136,0.0331179,0.87731,0.0311087,0.0842375,0.903486,0.91367,0.799398,0.781683,0.975534,0.0346429,0.0180173,0.969712,0.0131657,0.018698,0.0192495,0.0405833,0.0187025,0.850078,0.79998,0.818741,0.0183201,0.822957,0.828005,0.169215,0.0296596,0.909625,0.905659,0.90185,0.858851,0.785225,0.846932,0.818162,0.0312036,0.951033,0.0411144,0.0289835,0.783987,0.608613,0.0384055,0.330254,0.393411,0.864071,0.606375,0.0279634,0.895102
1.0,0.0683219,0.427319,0.0102876,0.658752,0.0527746,0.0758457,0.39438,0.0404441,0.0282567,0.873045,0.039533,0.96041,0.797735,0.58545,0.600469,0.591583,0.86082,0.787645,0.0606117,0.790369,0.873621,0.90901,0.0282343,0.0689733,0.282396,0.0426501,0.259951,0.0789624,0.0258763,0.854211,0.91408,0.171314,0.827208,0.832514,0.946403,0.0513943,0.0464583,0.759026,0.896157,0.246729,0.803526,0.486798,0.961247,0.710221,0.834135,0.626003,0.796215,0.0365267,0.836283,0.074741,0.755128,0.867553,0.806619,0.0444381,0.875905,0.866024,0.053757,0.95749,0.974393,0.789963,0.615915,0.0290923,0.551379,0.859993,0.90538,0.715019,0.0422481,0.868123,0.0317224,0.113483,0.873243,0.901353,0.785276,0.780855,0.96937,0.0775149,0.0208513,0.960317,0.0152097,0.0229399,0.0655296,0.0305495,0.0167834,0.842936,0.820938,0.832748,0.0371598,0.822543,0.782412,0.244419,0.0401285,0.897901,0.887798,0.875415,0.843754,0.818889,0.863191,0.831936,0.0273275,0.939862,0.0563179,0.0476451,0.764268,0.604803,0.0411633,0.38691,0.419874,0.871278,0.616664,0.0380377,0.870369
1.0,0.0860335,0.35741,0.12109,0.730975,0.0555905,0.112709,0.190959,0.0325523,0.0522689,0.884876,0.0360949,0.964451,0.753678,0.553935,0.603137,0.674418,0.851943,0.842849,0.136335,0.781889,0.871256,0.915236,0.0318509,0.0727922,0.231183,0.0572035,0.392984,0.0559229,0.0291696,0.884028,0.923285,0.350229,0.84867,0.805347,0.951307,0.044004,0.123745,0.79217,0.894543,0.223981,0.781294,0.463633,0.958771,0.741138,0.845801,0.565507,0.815915,0.052843,0.70206,0.0840872,0.847958,0.878436,0.804743,0.0547833,0.824346,0.884721,0.06191,0.951858,0.93866,0.837432,0.576024,0.0307354,0.549401,0.903619,0.898816,0.706626,0.0332536,0.874071,0.0309431,0.145516,0.863436,0.901852,0.787252,0.813171,0.972663,0.0940938,0.0336424,0.969273,0.0147239,0.0198907,0.0729121,0.0524205,0.0196054,0.837197,0.818867,0.821858,0.0413641,0.818744,0.888262,0.214968,0.0280344,0.890118,0.897858,0.870735,0.873099,0.846249,0.889686,0.640594,0.0287877,0.944286,0.0848356,0.0577926,0.814978,0.673509,0.0406833,0.32433,0.499801,0.876644,0.602202,0.0285947,0.886317
1.0,0.0524082,0.210042,0.0123814,0.688798,0.0495402,0.0713335,0.171926,0.0334703,0.0331131,0.862961,0.0277366,0.962372,0.853394,0.603404,0.712675,0.860916,0.884464,0.786258,0.0897172,0.879027,0.919681,0.906285,0.0154308,0.0313112,0.229394,0.0178742,0.734961,0.0888088,0.0168277,0.892264,0.9266,0.621436,0.827746,0.844576,0.926655,0.0287514,0.0447794,0.798984,0.918104,0.220481,0.877654,0.241596,0.963136,0.72752,0.923772,0.727459,0.840074,0.0616625,0.89696,0.0616758,0.803856,0.925295,0.780903,0.0279168,0.927626,0.933159,0.0408052,0.956269,0.971902,0.776891,0.559387,0.0172315,0.524038,0.934926,0.948307,0.81604,0.0249082,0.895476,0.0455271,0.120934,0.908416,0.936629,0.798766,0.796072,0.972724,0.0570567,0.0148406,0.964928,0.00971136,0.0169773,0.0698054,0.0331171,0.0164314,0.903877,0.848716,0.879185,0.0570933,0.873279,0.852588,0.21752,0.0314931,0.928081,0.931727,0.873663,0.906182,0.796671,0.867712,0.794664,0.0286558,0.943352,0.0480565,0.0685969,0.845039,0.744335,0.0263858,0.381937,0.447939,0.851025,0.658775,0.0239221,0.940023
1.0,0.0639712,0.476685,0.0530445,0.841297,0.0561522,0.0682099,0.345305,0.0294499,0.0399938,0.906281,0.041101,0.956997,0.792598,0.670349,0.601579,0.546539,0.848382,0.817153,0.127748,0.778483,0.900565,0.903031,0.0292693,0.0896516,0.282343,0.0430263,0.216612,0.0943143,0.0245971,0.84763,0.899576,0.129969,0.859728,0.886103,0.945466,0.0508591,0.067961,0.798695,0.898734,0.267344,0.839442,0.614711,0.962984,0.782828,0.810995,0.587094,0.809236,0.0555286,0.748839,0.0684816,0.840268,0.895368,0.819527,0.0516823,0.841995,0.915079,0.0541996,0.953755,0.957793,0.874305,0.655278,0.0364248,0.603859,0.910399,0.902822,0.697081,0.0421609,0.87051,0.0374726,0.157567,0.885905,0.919236,0.788394,0.852234,0.96903,0.0845115,0.0594455,0.969987,0.0159327,0.018736,0.0485777,0.0412248,0.018705,0.836099,0.830306,0.839839,0.043766,0.823061,0.867615,0.238852,0.0351182,0.912296,0.888955,0.870081,0.843489,0.862952,0.875926,0.81848,0.0317815,0.954335,0.0726438,0.0588799,0.845845,0.635718,0.0411806,0.401902,0.551541,0.883228,0.657189,0.0322251,0.888299
1.0,0.0621867,0.301351,0.0161817,0.664329,0.0394464,0.0485444,0.16408,0.0223295,0.0385876,0.842189,0.0187911,0.954375,0.84998,0.600591,0.588464,0.695729,0.862354,0.783693,0.0478127,0.79491,0.856753,0.885118,0.0335293,0.0707692,0.252337,0.0209895,0.324911,0.0675536,0.0285242,0.865206,0.900748,0.253645,0.820777,0.857499,0.945006,0.0369139,0.0443078,0.768419,0.851228,0.230051,0.799733,0.539504,0.973702,0.734059,0.855777,0.622317,0.833108,0.0347984,0.799653,0.0540055,0.804977,0.871141,0.804634,0.034059,0.856294,0.880398,0.0312293,0.961381,0.971555,0.758195,0.585557,0.0247346,0.512729,0.873704,0.894063,0.723968,0.0357331,0.876537,0.0314283,0.0991947,0.869508,0.893842,0.780066,0.805094,0.972705,0.0395102,0.0185325,0.964287,0.0170882,0.022904,0.0244636,0.0410664,0.0142008,0.839068,0.815169,0.796753,0.0209755,0.839085,0.860446,0.0098414,0.037294,0.904069,0.900183,0.859366,0.87587,0.817822,0.861003,0.850994,0.0228472,0.951494,0.0474906,0.0318229,0.804073,0.684725,0.0409673,0.313608,0.519628,0.883688,0.628877,0.0422636,0.885193
