Features,Importance Score,Difference,Cancer,Clear
cg14107978,0.134102389,0.006430306,0.039666835,0.033236529
cg07093324,0.079464287,0.136995382,0.285389691,0.148394309
cg27471901,0.405735731,0.048593149,0.216280025,0.167686876
cg15768901,0.256779581,0.091138958,0.196611072,0.105472114
cg27190839,0.076183982,0.041415112,0.82915365,0.870568762
cg09384183,0.095445953,0.02747373,0.882934025,0.855460295
cg20416129,0.003951903,0.033543853,0.880626863,0.84708301
cg21948655,0.041294698,0.023777034,0.875191663,0.851414629
cg27451521,0.126779437,0.02212292,0.878646925,0.856524005
cg15209921,0.152212217,0.027924757,0.8831284,0.855203643
cg01751320,0.029578023,0.025407342,0.876962575,0.851555233
cg09910856,0.008469577,0.028970237,0.882232575,0.853262338
cg13120955,0.081270494,0.02003527,0.891099113,0.871063843
cg00235657,0.161830828,0.022567815,0.898072825,0.87550501
cg05071493,0.092732497,0.016540749,0.899851688,0.883310938
cg00595787,0.060193971,0.025650018,0.906797137,0.881147119
cg03799378,0.130880609,0.028128205,0.890466863,0.862338657
cg26817972,0.292715609,0.019719415,0.880327362,0.860607948
cg00106432,0.026163148,0.027730129,0.892621063,0.864890933
cg08581745,0.056598026,0.029734845,0.897364688,0.867629843
cg08277259,0.041329436,0.029488089,0.895444613,0.865956524
cg06475503,0.31063813,0.00931349,0.9402476,0.94956109
cg24054683,0.037664343,0.013929968,0.948420475,0.962350443
cg07563765,0.222920895,0.030161942,0.946444963,0.976606905
cg05745622,0.001805572,0.009533171,0.9670675,0.976600671
cg25983288,0.097518325,0.007798523,0.959629825,0.967428348
cg01117788,0.02354886,0.00491191,0.967844737,0.972756648
cg26469955,0.170435011,0.014232295,0.930222537,0.915990243
cg14193825,0.081864342,0.036176358,0.878822338,0.914998695
cg24756213,0.10882397,0.037619558,0.790269139,0.752649581
cg08368934,0.054559279,0.022073013,0.779460275,0.757387262
cg02361702,0.021370173,0.063259176,0.8206869,0.757427724
cg02301292,0.181514367,0.043354301,0.773732225,0.730377924
cg22867629,0.107290097,0.056156573,0.804147688,0.747991114
cg19212550,0.537445068,0.074499582,0.738745938,0.813245519
cg14448919,0.01256007,0.01536149,0.8383949,0.82303341
cg00656478,0.265480429,0.047138167,0.872558163,0.825419995
cg00589181,0.257895768,0.054890729,0.871503,0.816612271
cg05241830,0.391937226,0.036929201,0.852091325,0.815162124
cg16311716,0,0.032921875,0.860830075,0.8279082
cg17751153,0.074771516,0.002915134,0.817465763,0.814550629
cg20958098,0.077554099,0.042439281,0.8440343,0.801595019
cg01328621,0.34783563,0.031139327,0.820022075,0.788882748
cg12511356,0.017276539,0.026878648,0.8205192,0.793640552
cg19483011,0.050231323,0.043383554,0.849964788,0.806581233
cg19410609,0.122000583,0.038633522,0.837757013,0.79912349
cg18835596,0.109893911,0.030418462,0.8483571,0.817938638
cg03071134,0.28355217,0.152623142,0.616624862,0.769248005
cg08042322,0.138466343,0.221348545,0.570566412,0.791914957
cg05634428,0.305842876,0.077429924,0.6271697,0.549739776
cg02379079,0.091749363,0.07975509,0.5875931,0.50783801
cg05835416,0.049446892,0.081110835,0.569771913,0.650882748
cg19205064,0.047131129,0.039914627,0.700728575,0.660813948
cg04656009,0.353031427,0.090037323,0.703330337,0.613293014
cg06881421,0.04956172,0.059645536,0.673917013,0.614271476
cg14210817,0.255818754,0.148926055,0.558146112,0.409220057
cg07195224,0.079258829,0.121147322,0.514630213,0.39348289
cg03606020,0.335162908,0.071637439,0.482478363,0.410840924
cg10178628,0.091547392,0.060279509,0.515790638,0.455511129
cg13380204,0.244096845,0.19063263,0.494656625,0.304023995
cg09029902,0.298160762,0.109656041,0.362076062,0.252420021
cg20446404,0.144699499,0.066280985,0.365572375,0.29929139
cg02754084,0.006576398,0.080700024,0.407357,0.326656976
