class,cg04875128,cg21051964,cg15256305,cg00590036,cg03735012,cg12559685,cg21399832,cg01953615,cg10584587,cg03760191
-1.0,0.413714,0.904194,0.411368,0.121132,0.523116,0.861475,0.475833,0.780393,0.934893,0.883219
-1.0,0.212911,0.933418,0.407516,0.123937,0.472485,0.761682,0.39462,0.822118,0.951831,0.831963
-1.0,0.475506,0.917256,0.352295,0.148109,0.476773,0.796442,0.477335,0.786594,0.959805,0.882953
-1.0,0.219835,0.951683,0.481183,0.110573,0.50229,0.672903,0.420321,0.970482,0.947768,0.834313
-1.0,0.0469784,0.934032,0.113961,0.21779,-0.0103882,0.732402,0.0370831,0.817624,0.967886,0.661543
-1.0,0.335012,0.927244,0.383898,0.100034,0.560779,0.923882,0.479544,0.742167,0.985364,0.935894
-1.0,0.503808,0.946635,0.565565,0.12755,0.572234,0.923811,0.580053,0.79951,0.976605,0.950056
-1.0,0.540127,0.941848,0.322401,0.170406,0.492035,0.899592,0.516397,0.704113,0.942631,0.915603
-1.0,0.468995,0.948485,0.26058,0.145382,0.57635,0.87834,0.513058,0.764473,0.966157,0.875502
-1.0,0.400391,0.933698,0.330989,0.202385,0.485922,0.804888,0.457912,0.838255,0.959766,0.840271
-1.0,0.512163,0.913697,0.336274,0.195625,0.5823,0.839695,0.515081,0.741264,0.899596,0.895637
-1.0,0.497605,0.951495,0.394833,0.15981,0.568325,0.902733,0.531706,0.874757,0.976658,0.954557
-1.0,0.539894,0.926534,0.435531,0.17521,0.56984,0.881744,0.517267,0.830192,0.974118,0.914309
-1.0,0.518681,0.938996,0.46689,0.138601,0.546089,0.896294,0.609249,0.850692,0.95271,0.923071
-1.0,0.448775,0.943298,0.332912,0.224126,0.379751,0.865487,0.425494,0.832738,0.955261,0.864592
-1.0,0.523225,0.950747,0.452917,0.175991,0.581472,0.899091,0.471171,0.825472,0.964176,0.873777
-1.0,0.0945636,0.93301,0.147627,0.221273,0.059905,0.729476,0.0965329,0.789869,0.945249,0.768437
-1.0,0.51795,0.933814,0.415578,0.190829,0.55516,0.900057,0.489086,0.797326,0.978725,0.913805
-1.0,0.373362,0.948653,0.421162,0.184821,0.456778,0.811821,0.429982,0.808951,0.967848,0.887522
-1.0,0.510754,0.956297,0.450662,0.13056,0.598594,0.919161,0.654463,0.864843,0.935883,0.94561
-1.0,0.408187,0.940438,0.355641,0.195345,0.522561,0.812973,0.53572,0.792043,0.970563,0.920038
-1.0,0.520161,0.93813,0.484176,0.159613,0.585178,0.891393,0.565238,0.811624,0.975112,0.889952
-1.0,0.0107942,0.792076,0.368402,0.152562,0.348175,0.873805,0.153376,0.955698,0.993756,0.819018
-1.0,0.445122,0.896762,0.452012,0.170751,0.53447,0.420793,0.514058,0.870894,0.974715,0.870947
-1.0,0.113728,0.942923,0.180224,0.195403,0.132172,0.785095,0.169128,0.813457,0.965175,0.800862
-1.0,0.525644,0.917456,0.50805,0.181044,0.566817,0.829251,0.557408,0.833458,0.971428,0.886202
-1.0,0.0546694,0.947414,0.206117,0.226261,0.0528128,0.768761,0.0340062,0.850005,0.957036,0.744386
-1.0,0.521475,0.955196,0.476433,0.183742,0.527904,0.878674,0.554337,0.841261,0.969058,0.905311
-1.0,0.470577,0.950525,0.466908,0.120859,0.673986,0.927568,0.643731,0.901175,0.988369,0.945785
-1.0,0.489904,0.944251,0.4642,0.141362,0.593749,0.899105,0.62271,0.876924,0.976177,0.898097
-1.0,0.508831,0.946862,0.314447,0.183682,0.537863,0.837788,0.572904,0.800199,0.94282,0.838962
-1.0,0.443358,0.945842,0.578723,0.49795,0.100311,0.566273,0.230831,0.964193,0.979111,0.831477
-1.0,0.452487,0.950605,0.427201,0.149021,0.513988,0.803894,0.560491,0.751588,0.951014,0.920977
-1.0,0.471588,0.932839,0.419124,0.191967,0.515747,0.845738,0.548385,0.820092,0.965952,0.945968
-1.0,0.472172,0.917199,0.416833,0.205134,0.503547,0.854221,0.529687,0.78806,0.964342,0.933455
-1.0,0.522423,0.936104,0.504106,0.186787,0.567594,0.883031,0.551837,0.819235,0.965123,0.909835
-1.0,0.52855,0.947015,0.436044,0.138424,0.542914,0.926936,0.531234,0.765692,0.975699,0.922525
-1.0,0.535017,0.943919,0.509218,0.147573,0.55336,0.911189,0.652132,0.902675,0.964611,0.929702
-1.0,0.475426,0.932242,0.418514,0.15565,0.520832,0.829806,0.567798,0.763296,0.930588,0.911527
-1.0,0.525369,0.944457,0.478932,0.156679,0.558125,0.887594,0.580178,0.817398,0.958501,0.93598
-1.0,0.52221,0.951008,0.459716,0.157323,0.579881,0.858132,0.602744,0.819063,0.964696,0.877895
-1.0,0.491264,0.951415,0.559509,0.177873,0.567576,0.913754,0.616827,0.904569,0.978988,0.963021
-1.0,0.511653,0.926623,0.384811,0.179703,0.546563,0.878361,0.600774,0.801726,0.974724,0.897348
-1.0,0.0385426,0.923094,0.157122,0.226117,0.0834785,0.76303,0.0733201,0.678075,0.960301,0.632432
-1.0,0.443548,0.943724,0.407857,0.19543,0.462768,0.850997,0.559573,0.838361,0.964631,0.840306
-1.0,0.462722,0.927823,0.360918,0.187525,0.454986,0.848774,0.516818,0.843946,0.978649,0.850472
-1.0,0.527734,0.940399,0.448748,0.100084,0.477654,0.922023,0.536817,0.847495,0.976338,0.893902
-1.0,0.510121,0.939678,0.449111,0.158468,0.558044,0.86757,0.579474,0.848604,0.954651,0.915786
-1.0,0.450391,0.944408,0.400985,0.184926,0.443233,0.794149,0.468885,0.78197,0.965898,0.824382
-1.0,0.0941601,0.91368,0.18585,0.224055,0.120472,0.821079,0.137523,0.867005,0.977634,0.811515
-1.0,0.534465,0.910937,0.468076,0.195757,0.52339,0.867349,0.544879,0.841229,0.965536,0.903673
-1.0,0.466452,0.922314,0.443653,0.169079,0.564305,0.869018,0.570131,0.799626,0.966301,0.891402
-1.0,0.518483,0.936739,0.357161,0.188523,0.539572,0.911148,0.56155,0.839741,0.967591,0.928365
-1.0,0.538318,0.947739,0.55957,0.14506,0.593378,0.893272,0.593119,0.861466,0.968626,0.91584
-1.0,0.471422,0.885084,0.515653,0.140346,0.563298,0.890361,0.59463,0.867442,0.970923,0.887899
-1.0,0.500751,0.935528,0.49901,0.175281,0.520144,0.909523,0.574753,0.881105,0.961474,0.949624
-1.0,0.461997,0.939339,0.562908,0.183672,0.594402,0.886728,0.625673,0.885749,0.971152,0.959002
-1.0,0.470969,0.935873,0.379068,0.194858,0.559483,0.877768,0.575775,0.784433,0.953585,0.870148
-1.0,0.142151,0.943107,0.161762,0.310447,0.0305846,0.735725,0.071355,0.820309,0.95351,0.761731
-1.0,0.529004,0.952967,0.529658,0.265169,0.571069,0.906678,0.648192,0.859549,0.987184,0.957615
-1.0,0.529932,0.946392,0.495952,0.182002,0.5493,0.909726,0.574582,0.839668,0.974815,0.947494
-1.0,0.509203,0.943511,0.590656,0.173589,0.574414,0.916485,0.552015,0.881348,0.975299,0.934631
-1.0,0.424625,0.933408,0.465724,0.195276,0.469156,0.858205,0.482085,0.801772,0.972702,0.849662
-1.0,0.512122,0.943635,0.562906,0.15742,0.547379,0.906067,0.576146,0.852312,0.975445,0.913965
-1.0,0.515403,0.928245,0.474828,0.166706,0.535886,0.89117,0.629537,0.848558,0.967738,0.892824
-1.0,0.537699,0.951056,0.457348,0.223739,0.636387,0.905242,0.665818,0.924331,0.98144,0.961718
-1.0,0.48277,0.955184,0.584865,0.219897,0.586604,0.91375,0.642947,0.897707,0.981191,0.914282
1.0,0.149127,0.786006,0.117096,0.0880023,0.146258,0.594752,0.257558,0.669242,0.78091,0.797721
1.0,0.32357,0.837276,0.187181,0.0838572,0.218401,0.748362,0.33824,0.781857,0.932032,0.766974
1.0,0.263264,0.851884,0.137702,0.12002,0.354245,0.703115,0.423536,0.695814,0.93196,0.793948
1.0,0.43618,0.915485,0.281995,0.127474,0.375306,0.750362,0.430821,0.752868,0.868106,0.747016
1.0,0.401547,0.909171,0.244813,0.132921,0.4692,0.860307,0.491745,0.790024,0.872645,0.850779
1.0,0.431922,0.920069,0.236985,0.115841,0.539266,0.680924,0.463176,0.735332,0.869662,0.811681
1.0,0.357608,0.937299,0.300837,0.0948876,0.428537,0.744269,0.432436,0.687993,0.951689,0.817059
1.0,0.36595,0.910524,0.304994,0.114335,0.425336,0.668656,0.430475,0.699991,0.80586,0.833534
1.0,0.35365,0.933339,0.356228,0.127081,0.423594,0.85667,0.464828,0.748133,0.972422,0.834043
1.0,0.31799,0.913231,0.18603,0.137223,0.491859,0.832506,0.462047,0.768509,0.907865,0.925953
1.0,0.418826,0.882587,0.373347,0.125158,0.352093,0.915598,0.4217,0.889878,0.985288,0.955394
1.0,0.511472,0.933934,0.353385,0.130307,0.508859,0.78801,0.529038,0.849488,0.978675,0.878582
1.0,0.342107,0.857419,0.168582,0.139684,0.483883,0.776591,0.444462,0.782865,0.924609,0.845098
1.0,0.359822,0.919842,0.260455,0.148884,0.437526,0.799247,0.403336,0.82016,0.934814,0.9095
1.0,0.409598,0.924575,0.278144,0.13235,0.439203,0.822491,0.512038,0.803685,0.95718,0.88199
1.0,0.310562,0.89877,0.255191,0.139873,0.454567,0.803521,0.475247,0.821146,0.97027,0.841164
1.0,0.482589,0.935425,0.484574,0.152804,0.547049,0.889555,0.541072,0.841255,0.973974,0.920772
-1.0,0.462005,0.939749,0.356656,0.20645,0.488128,0.809461,0.486438,0.830715,0.980794,0.888027
-1.0,0.424056,0.948598,0.394824,0.14297,0.538947,0.812786,0.525305,0.831499,0.969782,0.937835
-1.0,0.449289,0.892632,0.390988,0.146957,0.572618,0.862348,0.484143,0.805112,0.946238,0.888935
-1.0,0.452214,0.927994,0.513241,0.146424,0.536546,0.846527,0.555539,0.79371,0.930308,0.869011
-1.0,0.465874,0.908107,0.421505,0.136974,0.513288,0.817725,0.505516,0.785309,0.935242,0.842837
-1.0,0.514764,0.959472,0.442455,0.193335,0.61742,0.864593,0.538058,0.802067,0.9816,0.872574
-1.0,0.479633,0.913052,0.421474,0.115271,0.518557,0.867172,0.439993,0.699484,0.959026,0.886192
-1.0,0.497389,0.934587,0.28682,0.201662,0.515605,0.87529,0.569718,0.818561,0.95967,0.924722
-1.0,0.515297,0.919576,0.442603,0.143396,0.551666,0.855177,0.57897,0.822581,0.971082,0.949215
-1.0,0.391417,0.953087,0.15713,0.165185,0.459528,0.909797,0.491216,0.872443,0.950464,0.908228
-1.0,0.358375,0.930388,0.23243,0.165941,0.397818,0.866506,0.46369,0.89559,0.975086,0.913298
-1.0,0.482976,0.905105,0.384507,0.127709,0.520404,0.810596,0.539543,0.812601,0.980122,0.929401
-1.0,0.395392,0.935068,0.41826,0.131936,0.532426,0.779325,0.478022,0.851761,0.958849,0.895054
-1.0,0.475963,0.926054,0.395585,0.136567,0.532735,0.89711,0.564026,0.883962,0.976825,0.912509
-1.0,0.505244,0.934101,0.471584,0.155531,0.57683,0.812574,0.581504,0.830605,0.927288,0.88336
-1.0,0.441704,0.931457,0.492108,0.111504,0.503442,0.836699,0.461035,0.836213,0.911936,0.912965
-1.0,0.521867,0.955704,0.432818,0.188664,0.567595,0.836267,0.547883,0.841349,0.97281,0.889157
-1.0,0.456449,0.878687,0.272502,0.139008,0.481354,0.831114,0.505889,0.744535,0.978782,0.857697
-1.0,0.49171,0.945965,0.315788,0.1763,0.507101,0.877636,0.606247,0.858505,0.977024,0.937307
-1.0,0.504412,0.943544,0.384068,0.200673,0.527997,0.892048,0.53323,0.858538,0.972742,0.930228
-1.0,0.510427,0.947526,0.405176,0.150377,0.574809,0.865394,0.585206,0.913691,0.9757,0.917078
-1.0,0.539952,0.957986,0.52853,0.144339,0.587721,0.898946,0.598632,0.822998,0.96774,0.908717
-1.0,0.45124,0.942094,0.354792,0.169091,0.597189,0.896665,0.572096,0.836053,0.951742,0.893666
-1.0,0.388815,0.90095,0.281133,0.155445,0.614889,0.801262,0.523036,0.825728,0.89074,0.935952
-1.0,0.442952,0.903305,0.27734,0.13467,0.524456,0.838407,0.520061,0.798764,0.961028,0.910568
-1.0,0.527034,0.90797,0.335054,0.173159,0.568302,0.815594,0.604629,0.859852,0.984799,0.896297
-1.0,0.532776,0.937845,0.568459,0.191182,0.582877,0.900953,0.604839,0.857166,0.979561,0.912412
-1.0,0.503004,0.923903,0.328125,0.144051,0.530371,0.868502,0.491605,0.854236,0.971934,0.869948
-1.0,0.471905,0.952076,0.498846,0.136483,0.58022,0.879793,0.512123,0.821572,0.966118,0.925636
-1.0,0.544715,0.956623,0.447922,0.159529,0.629259,0.919907,0.620687,0.88983,0.97378,0.879934
-1.0,0.507628,0.957167,0.43445,0.175673,0.495635,0.838829,0.487661,0.810511,0.954892,0.917253
-1.0,0.48009,0.904731,0.365812,0.155142,0.513286,0.878922,0.496297,0.804081,0.957995,0.853419
-1.0,0.512409,0.948688,0.438314,0.129861,0.578508,0.89975,0.568171,0.837418,0.968473,0.896697
-1.0,0.549545,0.954249,0.498497,0.10979,0.536164,0.900983,0.556501,0.936158,0.983416,0.942748
-1.0,0.467891,0.936066,0.513102,0.215104,0.529576,0.806313,0.53916,0.818354,0.974106,0.91811
-1.0,0.506148,0.934591,0.464602,0.142923,0.6148,0.86138,0.571581,0.883769,0.961235,0.911672
-1.0,0.465139,0.946535,0.44913,0.183369,0.497624,0.869355,0.569834,0.910914,0.970436,0.923871
-1.0,0.47423,0.950571,0.515274,0.174171,0.527847,0.848307,0.505047,0.807956,0.962882,0.901554
-1.0,0.506414,0.939693,0.466558,0.182521,0.518972,0.890974,0.528713,0.896578,0.981174,0.907748
-1.0,0.540345,0.924969,0.509597,0.160079,0.568208,0.908792,0.624224,0.910934,0.95521,0.953099
-1.0,0.503529,0.907097,0.295237,0.203042,0.482579,0.817403,0.530782,0.826653,0.980227,0.87533
-1.0,0.5377,0.942201,0.506563,0.18605,0.569591,0.892548,0.580239,0.868254,0.976454,0.942083
-1.0,0.517151,0.952465,0.402733,0.15346,0.561116,0.883574,0.572479,0.862718,0.968047,0.90638
-1.0,0.494069,0.954246,0.42498,0.140902,0.573483,0.882335,0.545463,0.810032,0.978187,0.935291
-1.0,0.462193,0.941595,0.428598,0.153302,0.414909,0.860112,0.483948,0.866057,0.976698,0.900422
-1.0,0.529888,0.961238,0.297634,0.153614,0.491047,0.847207,0.47966,0.842819,0.952648,0.93302
-1.0,0.504804,0.944698,0.390877,0.15688,0.564614,0.912648,0.606675,0.827204,0.966746,0.901893
-1.0,0.545256,0.944216,0.483966,0.127388,0.633565,0.902549,0.668717,0.859926,0.966773,0.944748
-1.0,0.532532,0.942573,0.511003,0.188725,0.572969,0.895891,0.558687,0.894873,0.98593,0.918972
-1.0,0.518068,0.956533,0.361836,0.168449,0.600962,0.903931,0.645773,0.873547,0.950787,0.948744
-1.0,0.460481,0.93964,0.47585,0.155411,0.562913,0.899659,0.540647,0.777835,0.960892,0.931793
-1.0,0.45722,0.932227,0.43094,0.183024,0.533945,0.866974,0.581083,0.844039,0.945997,0.885573
-1.0,0.435725,0.94067,0.275617,0.168268,0.514565,0.82178,0.545949,0.852534,0.973988,0.917339
-1.0,0.488095,0.952057,0.443948,0.165546,0.534215,0.915398,0.609943,0.847901,0.968775,0.928495
-1.0,0.541786,0.981667,0.584182,0.117084,0.598839,0.919269,0.58599,0.94867,0.977425,0.929491
-1.0,0.51038,0.946123,0.475768,0.133154,0.619044,0.901357,0.624575,0.887131,0.979769,0.91392
-1.0,0.538503,0.933034,0.42851,0.171371,0.484098,0.847171,0.580078,0.822394,0.973193,0.892206
-1.0,0.53775,0.956321,0.400022,0.145955,0.558847,0.871476,0.577232,0.890852,0.981939,0.94515
-1.0,0.504028,0.936732,0.37923,0.186443,0.582251,0.894677,0.583262,0.87861,0.960295,0.946749
-1.0,0.498185,0.958703,0.482365,0.186228,0.531627,0.895156,0.578699,0.916749,0.979898,0.925983
-1.0,0.545939,0.953819,0.427399,0.216651,0.535013,0.871217,0.554479,0.887202,0.973797,0.922094
-1.0,0.427875,0.944058,0.3715,0.191867,0.516739,0.872532,0.519677,0.832293,0.958629,0.914011
-1.0,0.506192,0.947186,0.527215,0.166624,0.579097,0.887525,0.644595,0.81286,0.966423,0.89945
-1.0,0.513655,0.91737,0.344755,0.173958,0.559674,0.860461,0.589226,0.843211,0.951802,0.916904
-1.0,0.527441,0.940426,0.580422,0.176782,0.618909,0.926005,0.652987,0.871054,0.979419,0.949077
-1.0,0.52218,0.951267,0.512276,0.159256,0.569795,0.909647,0.590964,0.860382,0.979577,0.92471
-1.0,0.532574,0.951206,0.449258,0.168217,0.559224,0.913312,0.607719,0.91642,0.974755,0.913043
-1.0,0.567641,0.953652,0.533633,0.160438,0.648206,0.904442,0.616299,0.887222,0.970763,0.938588
-1.0,0.467909,0.952849,0.30082,0.167744,0.552457,0.865951,0.55648,0.876479,0.961831,0.928271
-1.0,0.510607,0.945761,0.574516,0.168505,0.593713,0.910852,0.615955,0.820601,0.976158,0.953234
-1.0,0.459352,0.955113,0.510082,0.177982,0.566713,0.896846,0.574423,0.83764,0.973286,0.913013
-1.0,0.569394,0.954973,0.519126,0.190837,0.612053,0.892717,0.649634,0.872658,0.971157,0.916552
-1.0,0.533212,0.947118,0.453494,0.168833,0.587519,0.889861,0.600728,0.934051,0.957904,0.929835
-1.0,0.48277,0.945243,0.449706,0.15435,0.513665,0.807955,0.524745,0.845975,0.972035,0.94814
-1.0,0.496647,0.937035,0.349972,0.144405,0.561421,0.890025,0.597819,0.843398,0.957181,0.904681
-1.0,0.53981,0.953715,0.580162,0.186413,0.548543,0.922683,0.612059,0.910958,0.983742,0.931292
-1.0,0.546562,0.937164,0.527595,0.149052,0.603851,0.922413,0.622246,0.903509,0.969323,0.928825
-1.0,0.51112,0.94728,0.503341,0.202554,0.553882,0.928078,0.605796,0.903299,0.982928,0.936794
-1.0,0.475084,0.951923,0.479793,0.205123,0.528882,0.915112,0.554565,0.855679,0.970584,0.91423
-1.0,0.507828,0.956308,0.375867,0.1686,0.559487,0.886766,0.595188,0.931292,0.984262,0.928012
-1.0,0.597309,0.939214,0.545415,0.357937,0.633555,0.912704,0.697196,0.865999,0.98182,0.96738
-1.0,0.526757,0.946217,0.493605,0.167246,0.534937,0.866646,0.570729,0.869305,0.972058,0.887211
-1.0,0.550342,0.925178,0.5211,0.204147,0.57219,0.882257,0.584483,0.832932,0.968881,0.923172
-1.0,0.523573,0.948898,0.433651,0.184231,0.618051,0.888254,0.601296,0.870004,0.983023,0.937605
-1.0,0.523268,0.949041,0.436113,0.131767,0.557181,0.887594,0.617773,0.841035,0.976371,0.923366
-1.0,0.494294,0.948033,0.607773,0.186042,0.563676,0.894404,0.63017,0.89441,0.971656,0.913071
-1.0,0.542047,0.94926,0.543445,0.163797,0.570005,0.905157,0.622729,0.894207,0.97423,0.938867
-1.0,0.570981,0.954712,0.49877,0.200946,0.583716,0.930638,0.631832,0.869144,0.984762,0.978691
1.0,0.361889,0.893473,0.091642,0.109445,0.342491,0.674114,0.363891,0.782362,0.907559,0.821127
1.0,0.451891,0.899402,0.253015,0.119955,0.471969,0.821812,0.452605,0.851587,0.980393,0.872259
1.0,0.396781,0.892008,0.19705,0.113406,0.364305,0.727106,0.485367,0.744608,0.947524,0.815756
1.0,0.389933,0.864065,0.251285,0.122928,0.486452,0.704083,0.450629,0.796724,0.909748,0.864416
1.0,0.366104,0.917908,0.296424,0.156867,0.42267,0.844456,0.44734,0.820363,0.971834,0.907821
1.0,0.422697,0.915637,0.160122,0.122899,0.55856,0.730309,0.524844,0.73851,0.928614,0.896312
-1.0,0.413023,0.916782,0.265792,0.103712,0.399504,0.876526,0.514716,0.807163,0.958366,0.860375
-1.0,0.492861,0.927858,0.382788,0.119815,0.573587,0.86005,0.500325,0.827394,0.971854,0.858764
-1.0,0.480698,0.916162,0.302001,0.156302,0.553126,0.859562,0.569188,0.789415,0.944645,0.90345
-1.0,0.421251,0.915967,0.327682,0.172687,0.504438,0.771692,0.482917,0.870379,0.95703,0.909357
-1.0,0.470424,0.954249,0.51154,0.150874,0.493291,0.870952,0.547568,0.916002,0.976915,0.954954
-1.0,0.538683,0.944701,0.563076,0.148622,0.598249,0.931128,0.597377,0.954897,0.972911,0.915172
-1.0,0.449029,0.941493,0.311032,0.135495,0.47417,0.830811,0.544977,0.800132,0.932376,0.880848
-1.0,0.510811,0.943097,0.262585,0.16976,0.511702,0.807221,0.557236,0.841585,0.967042,0.821184
-1.0,0.423076,0.925816,0.286783,0.124021,0.415331,0.776552,0.501477,0.76994,0.949086,0.868704
-1.0,0.453596,0.937379,0.314001,0.15846,0.423302,0.863802,0.49502,0.831168,0.980866,0.884253
-1.0,0.391687,0.939161,0.275704,0.143285,0.473975,0.832644,0.508928,0.869995,0.961277,0.886016
-1.0,0.488975,0.9407,0.403909,0.160494,0.552769,0.849729,0.559034,0.874166,0.966774,0.876611
-1.0,0.397867,0.881116,0.206536,0.166118,0.399364,0.758989,0.483912,0.894134,0.932799,0.907775
-1.0,0.504403,0.944266,0.407251,0.137622,0.545007,0.884504,0.555607,0.805536,0.953081,0.88723
-1.0,0.43937,0.943016,0.212947,0.157266,0.516792,0.80656,0.45556,0.793876,0.969677,0.881519
-1.0,0.381516,0.912491,0.318607,0.120674,0.490423,0.759777,0.457816,0.753809,0.964547,0.854727
-1.0,0.466287,0.950377,0.291846,0.159113,0.583036,0.871758,0.545493,0.785008,0.972411,0.928274
-1.0,0.510847,0.916962,0.423364,0.150747,0.57999,0.830536,0.55205,0.820714,0.907033,0.921831
-1.0,0.466731,0.934276,0.291154,0.178103,0.521727,0.859134,0.554273,0.770072,0.936593,0.892215
-1.0,0.388225,0.933341,0.189874,0.176051,0.446533,0.827744,0.444877,0.79728,0.960509,0.872361
-1.0,0.483619,0.947978,0.479684,0.150251,0.560701,0.906523,0.506008,0.807757,0.96894,0.849742
-1.0,0.466364,0.918782,0.377164,0.111127,0.536134,0.83652,0.5237,0.840563,0.965337,0.905806
-1.0,0.485858,0.958101,0.41275,0.152568,0.514111,0.895807,0.553839,0.868873,0.959413,0.911081
-1.0,0.36708,0.800754,0.353028,0.145292,0.472427,0.793974,0.470984,0.749583,0.973385,0.840898
-1.0,0.396437,0.941904,0.446376,0.119137,0.549589,0.891132,0.50467,0.82705,0.970595,0.91671
-1.0,0.358651,0.921146,0.352359,0.156313,0.523147,0.810263,0.485513,0.802443,0.95923,0.861463
-1.0,0.464023,0.920954,0.504575,0.0803839,0.498956,0.879496,0.529468,0.769903,0.972698,0.95214
-1.0,0.340063,0.940901,0.3471,0.188081,0.481397,0.819525,0.506261,0.900063,0.980858,0.910784
-1.0,0.409155,0.912914,0.546818,0.17445,0.542024,0.891601,0.501583,0.865217,0.964048,0.912034
-1.0,0.551022,0.950007,0.506749,0.122292,0.619199,0.911882,0.60583,0.906896,0.980467,0.953082
-1.0,0.493069,0.933367,0.409586,0.141062,0.557517,0.892433,0.521874,0.833881,0.974838,0.906987
-1.0,0.503677,0.94197,0.425193,0.166445,0.547543,0.853394,0.561743,0.87638,0.967517,0.856981
-1.0,0.49752,0.93767,0.418321,0.120829,0.612675,0.877967,0.553776,0.822323,0.975123,0.923009
-1.0,0.440286,0.931709,0.293091,0.153135,0.605979,0.816,0.529821,0.803443,0.952754,0.876337
-1.0,0.463963,0.939049,0.303379,0.147415,0.447029,0.871055,0.49939,0.831074,0.931321,0.925569
-1.0,0.528836,0.953521,0.39612,0.136185,0.603014,0.908917,0.52022,0.844684,0.94947,0.915803
-1.0,0.385416,0.95141,0.422016,0.141793,0.525873,0.860546,0.522756,0.766853,0.967165,0.92222
-1.0,0.504767,0.952218,0.434473,0.149039,0.538141,0.91455,0.559705,0.822091,0.953761,0.910381
-1.0,0.38139,0.942694,0.284521,0.142923,0.426248,0.833405,0.414987,0.879873,0.982466,0.906398
-1.0,0.36113,0.941013,0.254451,0.134039,0.551671,0.840792,0.517334,0.728245,0.944959,0.866382
