class,cg05415871,cg07804728,cg06489728,cg22736354,cg04836492,cg13202751,cg02404636,cg13939055,cg20003638,cg00135497,cg04097388,cg02886806,cg05028639,cg13493426,cg21946667,cg18192222,cg03127558,cg18086664,cg14383422,cg10924085,cg15792367,cg12559685,cg14219896,cg22672359,cg07157058,cg06729093,cg23301740,cg12795947,cg13356175,cg18074954,cg22808692,cg11788523,cg24756378,cg05599106,cg19367176,cg19640789,cg11733430,cg06818047,cg02183025,cg10334121,cg11954230,cg16481556,cg12965202,cg00369443,cg00461685,cg00821186,cg06683177,cg07149267,cg25471715,cg03040554,cg14363146,cg09603381,cg08390760,cg08477640,cg13540805,cg10911354,cg03735012,cg07643912,cg10613684,cg04071270,cg12519676,cg25299750,cg25251562,cg21798667,cg08319417,cg17590135,cg01596963,cg27504738,cg09498007,cg16308533,cg22332266,cg12731868,cg23476885,cg21198531,cg00590036,cg26333652,cg14699765,cg12624829,cg12326244,cg18237551,cg21610439,cg22407458,cg21051964,cg10360139,cg21189611,cg02803914,cg08113526,cg08733933,cg04248312,cg17371014,cg08051310
1.0,0.7404,0.763561,0.97556,0.275376,0.820037,0.337391,0.021851,0.333935,0.661745,0.602421,0.896383,0.705631,0.950979,0.677191,0.794005,0.0847507,0.819322,0.0310239,0.0871969,0.91793,0.545251,0.915598,0.955098,0.0292545,0.0578723,0.91808,0.898673,0.675864,0.373213,0.0809613,0.990405,0.191584,0.438275,0.130986,0.891203,0.925223,0.88294,0.795096,0.32546,0.427536,0.0272462,0.982549,0.880767,0.976623,0.680166,0.834024,0.0196344,0.934492,0.403299,0.87429,0.01521,0.827563,0.190241,0.928989,0.459298,0.505744,0.352093,0.0299391,0.933915,0.701596,0.367135,0.141813,0.814735,0.0419653,0.753518,0.892483,0.437551,0.747493,0.201352,0.94798,0.0775542,0.81687,0.978745,0.0270664,0.125158,0.432465,0.845032,0.048882,0.651717,0.183659,0.661958,0.247664,0.882587,0.814615,0.708442,0.0946238,0.844609,0.675347,0.0353946,0.951492,0.02251
1.0,0.954201,0.873826,0.9769,0.316788,0.873274,0.415971,0.0358937,0.44635,0.790343,0.795992,0.892426,0.88514,0.85743,0.885802,0.759164,0.0831437,0.935258,0.0365764,0.376248,0.923694,0.397432,0.78801,0.946515,0.025092,0.0343699,0.909821,0.947831,0.78155,0.312625,0.262695,0.98611,0.324862,0.539334,0.121635,0.931461,0.986139,0.922042,0.906864,0.455813,0.812728,0.0254909,0.981972,0.925204,0.974294,0.704397,0.892727,0.0146761,0.901176,0.590896,0.871302,0.0100662,0.83873,0.0253673,0.922697,0.692628,0.724146,0.508859,0.323822,0.846959,0.840742,0.509094,0.252306,0.836987,0.0316281,0.961522,0.427389,0.484646,0.639237,0.195531,0.769791,0.0277119,0.88452,0.981357,0.0286048,0.130307,0.673453,0.824086,0.0337543,0.764787,0.212505,0.863302,0.296245,0.933934,0.919476,0.92989,0.529484,0.849502,0.551679,0.0294421,0.921698,0.0240322
1.0,0.958665,0.889249,0.97915,0.296457,0.871968,0.428232,0.0163185,0.407062,0.729,0.745647,0.900204,0.833866,0.950494,0.85869,0.714178,0.0257694,0.916863,0.0285498,0.354792,0.90421,0.44175,0.776591,0.952854,0.0265665,0.0164243,0.917569,0.910239,0.715931,0.286222,0.0604442,0.98312,0.320078,0.669493,0.11639,0.94331,0.985507,0.9352,0.810999,0.316972,0.919292,0.0343598,0.98095,0.91086,0.976084,0.687576,0.857204,0.013101,0.923413,0.580517,0.872612,0.0123526,0.87539,0.0466335,0.930917,0.752556,0.713501,0.483883,0.382851,0.85972,0.744826,0.599951,0.276387,0.635131,0.032015,0.983576,0.964504,0.495706,0.673564,0.167702,0.762539,0.0727104,0.889352,0.950593,0.0199699,0.139684,0.599307,0.842235,0.0221128,0.880064,0.185463,0.827824,0.335546,0.857419,0.915297,0.96449,0.319712,0.841373,0.57329,0.0677835,0.955212,0.0205167
1.0,0.962496,0.871948,0.976557,0.270089,0.910583,0.373907,0.102059,0.463335,0.728842,0.763582,0.907439,0.87668,0.951386,0.914836,0.723329,0.0294256,0.896794,0.0278171,0.337175,0.911102,0.407964,0.799247,0.948292,0.0393633,0.0227245,0.915967,0.928591,0.732987,0.292708,0.166687,0.983213,0.315696,0.587553,0.0957339,0.905971,0.986857,0.946442,0.859085,0.350823,0.863213,0.0329118,0.979164,0.898892,0.914218,0.814761,0.88367,0.0205481,0.913078,0.513037,0.859217,0.012375,0.907266,0.0160767,0.949862,0.76386,0.716218,0.437526,0.217136,0.81009,0.731831,0.553274,0.169059,0.871868,0.0319663,0.972486,0.956264,0.497135,0.658127,0.141504,0.648223,0.131914,0.838796,0.975395,0.0248465,0.148884,0.562834,0.816044,0.0260708,0.887687,0.166819,0.866665,0.24736,0.919842,0.931258,0.939349,0.37711,0.821488,0.607005,0.0352,0.928556,0.0215902
1.0,0.958672,0.858773,0.94064,0.341761,0.872598,0.38699,0.0218849,0.485025,0.744503,0.808593,0.80693,0.867965,0.944751,0.879861,0.768174,0.10134,0.910461,0.0500937,0.419107,0.918751,0.428529,0.822491,0.950313,0.0423956,0.0268052,0.923695,0.905033,0.819547,0.28922,0.137286,0.983986,0.311719,0.620144,0.0857099,0.881862,0.947211,0.9373,0.872103,0.338168,0.88238,0.06507,0.97788,0.908906,0.970375,0.724364,0.860075,0.0265199,0.934549,0.489598,0.0719493,0.0212601,0.894862,0.0250781,0.9406,0.706538,0.717775,0.439203,0.244581,0.80025,0.80072,0.608083,0.193919,0.618799,0.0444335,0.974737,0.965789,0.508622,0.680307,0.189978,0.7862,0.0880506,0.904698,0.978351,0.0378758,0.13235,0.605542,0.83619,0.0616875,0.875548,0.259966,0.879824,0.267492,0.924575,0.929258,0.962705,0.389662,0.818225,0.536392,0.07609,0.934698,0.0410101
1.0,0.971065,0.914459,0.971383,0.28885,0.881278,0.395068,0.0230137,0.484135,0.787117,0.814708,0.899219,0.903306,0.938792,0.886645,0.768709,0.0602114,0.953985,0.0252034,0.362588,0.905903,0.447076,0.803521,0.949666,0.0295023,0.172547,0.916925,0.929015,0.748615,0.335434,0.343515,0.982315,0.302786,0.564278,0.101747,0.906164,0.986548,0.934003,0.869018,0.37106,0.783493,0.024837,0.979914,0.91671,0.955441,0.761555,0.872294,0.0260902,0.925436,0.584948,0.886694,0.0141722,0.906418,0.019528,0.933072,0.725238,0.716368,0.454567,0.278697,0.808643,0.730362,0.636676,0.168783,0.846574,0.0482938,0.984117,0.957918,0.522418,0.751578,0.172633,0.77347,0.110067,0.134534,0.975624,0.0219737,0.139873,0.550577,0.832464,0.034879,0.867071,0.20333,0.879281,0.209729,0.89877,0.926551,0.961992,0.377149,0.820953,0.582178,0.0640531,0.92952,0.0291889
1.0,0.967897,0.889069,0.952909,0.286258,0.854894,0.427056,0.0265606,0.415973,0.801015,0.76575,0.888652,0.88562,0.921489,0.886762,0.753135,0.0281377,0.921907,0.0323616,0.433069,0.913943,0.443364,0.889555,0.941284,0.0338032,0.0183176,0.921045,0.927194,0.749325,0.269415,0.43319,0.966224,0.392116,0.730348,0.0722393,0.908359,0.987984,0.931425,0.878518,0.454796,0.821774,0.0198118,0.982145,0.901011,0.965955,0.754941,0.865169,0.086515,0.928149,0.524249,0.930512,0.0155565,0.925913,0.0175211,0.937345,0.722841,0.743118,0.547049,0.438453,0.854758,0.778587,0.538354,0.305023,0.634389,0.0322689,0.973913,0.970161,0.543488,0.582371,0.180516,0.917055,0.0473572,0.905463,0.979561,0.0177736,0.152804,0.633693,0.802943,0.0231161,0.873659,0.262733,0.868372,0.417721,0.935425,0.946957,0.943571,0.500862,0.854073,0.606409,0.0363059,0.944472,0.0245196
-1.0,0.93443,0.868669,0.976151,0.374354,0.862994,0.470085,0.0246809,0.460709,0.822511,0.811537,0.808797,0.868066,0.964211,0.826848,0.763702,0.018764,0.902044,0.0193203,0.427443,0.928784,0.400148,0.809461,0.947431,0.0241531,0.0239374,0.906174,0.948575,0.737916,0.280956,0.268224,0.986617,0.384732,0.739063,0.105642,0.906176,0.957216,0.937125,0.859154,0.449292,0.879703,0.0279842,0.970636,0.926197,0.982866,0.726414,0.85182,0.063582,0.928652,0.44603,0.885819,0.00995619,0.888624,0.0581819,0.924649,0.706308,0.662919,0.488128,0.312241,0.809242,0.840339,0.626692,0.29377,0.857567,0.0262469,0.966567,0.937207,0.568351,0.570839,0.200951,0.722834,0.0209506,0.846563,0.978238,0.0199415,0.20645,0.630559,0.819153,0.0272369,0.858985,0.355793,0.909664,0.386311,0.939749,0.938721,0.92765,0.445013,0.822226,0.571373,0.0196121,0.935786,0.0179098
-1.0,0.92605,0.896808,0.973463,0.318229,0.856786,0.436617,0.0354349,0.415931,0.777546,0.810753,0.81255,0.905636,0.958099,0.92003,0.746769,0.0194817,0.926319,0.0266655,0.472069,0.932362,0.400412,0.812786,0.937673,0.031837,0.0176584,0.913838,0.932358,0.788658,0.269323,0.294396,0.984477,0.347259,0.752378,0.083722,0.893981,0.986704,0.942194,0.794615,0.444144,0.74757,0.0211749,0.983554,0.904969,0.981439,0.805331,0.852627,0.0196004,0.918594,0.481926,0.849237,0.0105612,0.914068,0.0126007,0.913753,0.711594,0.631658,0.538947,0.416302,0.796539,0.788029,0.515161,0.256561,0.807624,0.0314389,0.97691,0.945412,0.514262,0.671244,0.154647,0.665387,0.0539363,0.871732,0.977025,0.0193992,0.14297,0.647976,0.825324,0.0277027,0.848755,0.264821,0.868842,0.32868,0.948598,0.953938,0.954939,0.443833,0.82162,0.619825,0.027828,0.932194,0.0274476
-1.0,0.905877,0.880955,0.817131,0.327547,0.879119,0.492545,0.0189356,0.412302,0.733454,0.807597,0.885226,0.892536,0.945653,0.906878,0.803331,0.0309431,0.949738,0.0324361,0.503964,0.907669,0.324847,0.862348,0.945275,0.0321323,0.0214239,0.942848,0.92261,0.706385,0.216094,0.369007,0.983188,0.323795,0.761901,0.0918146,0.919438,0.986146,0.93436,0.881268,0.426378,0.839548,0.041417,0.978324,0.895632,0.971032,0.807069,0.834453,0.013754,0.92435,0.498055,0.865148,0.0171208,0.919996,0.0212046,0.917389,0.740943,0.697786,0.572618,0.428678,0.801428,0.784487,0.404179,0.336131,0.859228,0.0205379,0.983813,0.937114,0.557983,0.62197,0.147627,0.927831,0.0643644,0.89541,0.974772,0.0293122,0.146957,0.688432,0.82657,0.0232002,0.825313,0.203958,0.871815,0.313478,0.892632,0.925817,0.941792,0.360663,0.83692,0.543346,0.0419405,0.945776,0.0301151
-1.0,0.958454,0.901631,0.973737,0.364023,0.872291,0.534461,0.0228849,0.523171,0.811773,0.814498,0.779954,0.895082,0.93403,0.872152,0.796428,0.0274706,0.943039,0.0361028,0.429458,0.898313,0.327358,0.846527,0.948113,0.0344284,0.0380988,0.909535,0.914548,0.770362,0.233364,0.393444,0.970131,0.469541,0.626321,0.0787384,0.906908,0.961705,0.918168,0.884645,0.463504,0.833722,0.0471435,0.962604,0.908462,0.961675,0.79437,0.830163,0.0170634,0.933902,0.479309,0.854799,0.0224855,0.915634,0.0223106,0.939825,0.727027,0.667517,0.536546,0.345467,0.817893,0.785201,0.66573,0.303504,0.867161,0.0246046,0.975714,0.922736,0.621199,0.488923,0.139397,0.854375,0.0731731,0.896136,0.977338,0.0406521,0.146424,0.701445,0.832263,0.0217843,0.800525,0.3014,0.874197,0.325091,0.927994,0.757384,0.943562,0.345761,0.795078,0.517387,0.0336797,0.943095,0.0284233
-1.0,0.955785,0.913905,0.977281,0.346406,0.869204,0.400996,0.0345812,0.51122,0.701391,0.825343,0.8784,0.867197,0.903293,0.854868,0.744782,0.0311608,0.947212,0.0259453,0.37946,0.911801,0.286243,0.817725,0.943177,0.0350283,0.0302033,0.914662,0.938792,0.749118,0.243173,0.348863,0.913126,0.330794,0.563516,0.0763449,0.915431,0.985294,0.926918,0.837633,0.422552,0.890843,0.0258348,0.978766,0.91232,0.969277,0.73532,0.842583,0.0199304,0.93236,0.583065,0.884338,0.0174046,0.87619,0.0183632,0.934412,0.740522,0.723983,0.513288,0.369949,0.847486,0.768381,0.67301,0.460506,0.877901,0.0363005,0.980669,0.967031,0.506364,0.601494,0.145321,0.750244,0.046543,0.900112,0.978898,0.0243537,0.136974,0.660146,0.831792,0.0231384,0.859383,0.250964,0.854378,0.530207,0.908107,0.93981,0.933983,0.413286,0.855237,0.575181,0.0691821,0.939232,0.0244529
-1.0,0.963511,0.892322,0.977927,0.35724,0.858823,0.578105,0.028179,0.507266,0.817307,0.82106,0.906287,0.802509,0.955057,0.909672,0.824405,0.017661,0.953858,0.02076,0.623716,0.467295,0.313975,0.864593,0.949221,0.0355485,0.0235337,0.907518,0.944419,0.786244,0.187563,0.437533,0.986222,0.381009,0.692349,0.091672,0.933479,0.987261,0.933487,0.754851,0.579115,0.799091,0.0282898,0.933272,0.922178,0.965518,0.78752,0.885275,0.0189228,0.942992,0.463489,0.873283,0.00450825,0.919946,0.0169474,0.942849,0.713585,0.719356,0.61742,0.501965,0.840062,0.828963,0.700394,0.360622,0.869155,0.0304863,0.980831,0.952756,0.526324,0.545697,0.201613,0.907268,0.0471145,0.894739,0.982084,0.0248699,0.193335,0.716168,0.847695,0.0226656,0.755934,0.30529,0.862034,0.358571,0.959472,0.929081,0.951321,0.48372,0.820847,0.533848,0.0221052,0.932546,0.021651
-1.0,0.947845,0.888305,0.978307,0.329443,0.903212,0.45051,0.0249498,0.492738,0.776931,0.732075,0.87747,0.872528,0.860846,0.903016,0.821893,0.016088,0.903044,0.0292748,0.406798,0.932585,0.385995,0.867172,0.94326,0.0272731,0.106198,0.919212,0.93348,0.827053,0.270005,0.203498,0.987311,0.246564,0.755089,0.072251,0.886297,0.987638,0.951253,0.930139,0.444567,0.879049,0.018704,0.984307,0.88971,0.97495,0.747639,0.918208,0.0181656,0.933106,0.498722,0.874939,0.00967002,0.938294,0.0110186,0.940508,0.715534,0.693448,0.518557,0.469668,0.853792,0.798891,0.581553,0.260084,0.677191,0.0257045,0.979226,0.937442,0.498512,0.524553,0.196413,0.859728,0.0513447,0.880043,0.978108,0.0173807,0.115271,0.595328,0.826558,0.0235269,0.854195,0.112345,0.879066,0.34878,0.913052,0.925297,0.957624,0.413892,0.848202,0.550653,0.0171721,0.932026,0.0183672
-1.0,0.946919,0.927303,0.974372,0.368201,0.86661,0.47632,0.0286963,0.519881,0.842758,0.839075,0.890304,0.879796,0.952776,0.91843,0.776093,0.0262334,0.937409,0.0286552,0.487589,0.917675,0.383392,0.87529,0.946921,0.0273194,0.0248601,0.914114,0.925886,0.842142,0.289443,0.400649,0.984956,0.345666,0.657793,0.0921349,0.87403,0.986352,0.934976,0.840255,0.351923,0.87804,0.0194253,0.975029,0.892255,0.974419,0.798198,0.858964,0.178887,0.945408,0.486901,0.86001,0.0166312,0.911763,0.0256742,0.931661,0.730542,0.649329,0.515605,0.409113,0.75912,0.777627,0.70615,0.340196,0.677907,0.0336974,0.972045,0.946101,0.563129,0.569832,0.149283,0.805669,0.0375856,0.850646,0.976457,0.0286844,0.201662,0.630092,0.798821,0.0251315,0.803968,0.328155,0.85008,0.343782,0.934587,0.944405,0.96023,0.333141,0.490636,0.551333,0.0598853,0.927867,0.0237143
-1.0,0.958171,0.887868,0.977427,0.350183,0.869448,0.499428,0.0296806,0.521095,0.845458,0.836615,0.223257,0.892529,0.94992,0.855994,0.814903,0.046716,0.955845,0.0203951,0.565009,0.925614,0.387392,0.855177,0.948493,0.0272832,0.0231828,0.916399,0.934491,0.768665,0.240845,0.423766,0.983562,0.431696,0.64902,0.124939,0.912712,0.987689,0.939708,0.887122,0.483644,0.863969,0.0278494,0.980016,0.918539,0.974211,0.812533,0.877001,0.0204812,0.923644,0.470982,0.870093,0.0116695,0.934738,0.0184229,0.93757,0.713008,0.708137,0.551666,0.462067,0.849014,0.808658,0.600909,0.368096,0.676338,0.0351487,0.969966,0.946638,0.608441,0.47085,0.130437,0.794505,0.0710334,0.820098,0.977599,0.0240305,0.143396,0.675244,0.829371,0.0248947,0.869923,0.282891,0.8538,0.420012,0.919576,0.932167,0.933317,0.533952,0.837527,0.545727,0.0296187,0.921624,0.0218003
-1.0,0.970658,0.916909,0.979256,0.300452,0.88622,0.434975,0.030336,0.546802,0.809557,0.829093,0.864948,0.921155,0.927806,0.927988,0.79562,0.0219689,0.937891,0.0238906,0.381756,0.925488,0.573508,0.909797,0.941903,0.0313875,0.181577,0.927011,0.933616,0.73788,0.289681,0.322321,0.982512,0.322864,0.706761,0.113871,0.88841,0.98237,0.94158,0.775682,0.340528,0.884045,0.0278348,0.971666,0.913496,0.778983,0.865118,0.849621,0.0200043,0.92515,0.592959,0.870278,0.0157439,0.92538,0.0170775,0.923137,0.738766,0.734682,0.459528,0.19645,0.839322,0.789644,0.620224,0.207597,0.887482,0.0401494,0.968979,0.967864,0.568589,0.582926,0.13354,0.870673,0.0318024,0.88296,0.979508,0.104653,0.165185,0.586453,0.819395,0.0227225,0.851967,0.310605,0.885668,0.25413,0.953087,0.924576,0.965281,0.336251,0.835431,0.573,0.0372294,0.940366,0.0260031
