class,cg06358970,cg15934776,cg18126442,cg05630556,cg01416891,cg00010954,cg07824824,cg22827250,cg26037614,cg27133034
-1.0,0.0104932,0.895949,0.267255,0.0606643,0.280142,0.573929,0.492432,0.403811,0.027315,0.806471
-1.0,0.0117777,0.937676,0.375413,0.0525662,0.25076,0.567658,0.52341,0.425452,0.0397437,0.763366
-1.0,0.0137801,0.936157,0.296996,0.0456249,0.275566,0.574137,0.40924,0.442379,0.0339599,0.777579
-1.0,0.0119887,0.904481,0.327477,0.0641669,0.289348,0.628028,0.474813,0.374939,0.0196167,0.775839
-1.0,0.00994537,0.90046,0.295,0.0614819,0.264358,0.66961,0.560029,0.418941,0.0353236,0.792486
-1.0,0.00990059,0.897404,0.254358,0.0576951,0.226038,0.612473,0.450151,0.400982,0.0342987,0.601499
-1.0,0.0104598,0.869224,0.228041,0.0446436,0.217537,0.59459,0.422574,0.381715,0.0397213,0.662707
-1.0,0.00954116,0.952188,0.32026,0.0499664,0.277648,0.598719,0.665336,0.426189,0.0367515,0.80228
-1.0,0.0108011,0.895501,0.334618,0.0560092,0.294419,0.620916,0.458504,0.394458,0.0301813,0.773601
-1.0,0.0110424,0.879711,0.361759,0.0520175,0.324292,0.588178,0.532682,0.465563,0.0265163,0.453984
-1.0,0.00942012,0.888121,0.251942,0.0492582,0.270473,0.577763,0.469326,0.419256,0.0526509,0.784634
-1.0,0.0101862,0.888175,0.261189,0.0595441,0.285037,0.631591,0.545293,0.397625,0.0316347,0.677184
-1.0,0.0102311,0.94966,0.294217,0.0431599,0.222189,0.59953,0.537182,0.441219,0.0247277,0.712609
-1.0,0.0108605,0.88033,0.264255,0.0403531,0.248491,0.699049,0.599179,0.352761,0.0274916,0.78158
-1.0,0.0124344,0.929229,0.318504,0.0566646,0.303327,0.577883,0.509389,0.474105,0.0290582,0.696071
